vid,route,ts,lat,lon,speed
11-9345 1,145.0,2023-10-30 05:57:12,13.772305,100.634138,0
11-9345 1,145.0,2023-10-30 05:58:12,13.770472,100.637472,27
11-9345 1,145.0,2023-10-30 05:58:27,13.769943,100.638417,21
11-9345 1,145.0,2023-10-30 05:58:27,13.769943,100.638417,21
11-9345 1,145.0,2023-10-30 05:59:12,13.7685,100.640972,32
11-9345 1,145.0,2023-10-30 05:59:12,13.7685,100.640972,32
11-9345 1,145.0,2023-10-30 06:00:12,13.767472,100.643055,4
11-9345 1,145.0,2023-10-30 06:00:12,13.767472,100.643055,4
11-9345 1,145.0,2023-10-30 06:00:57,13.766333,100.645167,10
11-9345 1,145.0,2023-10-30 06:01:12,13.766277,100.645277,0
11-9345 1,145.0,2023-10-30 06:01:42,13.766305,100.645277,0
11-9345 1,145.0,2023-10-30 06:02:12,13.766305,100.645277,0
11-9345 1,145.0,2023-10-30 06:02:27,13.766305,100.645277,0
11-9345 1,145.0,2023-10-30 06:03:12,13.764583,100.645722,33
11-9345 1,145.0,2023-10-30 06:03:12,13.764583,100.645722,33
11-9345 1,145.0,2023-10-30 06:03:57,13.763443,100.64575,15
11-9345 1,145.0,2023-10-30 06:03:57,13.763443,100.64575,15
11-9345 1,145.0,2023-10-30 06:04:57,13.761,100.64561,0
11-9345 1,145.0,2023-10-30 06:04:57,13.761,100.64561,0
11-9345 1,145.0,2023-10-30 06:05:27,13.75986,100.645693,26
11-9345 1,145.0,2023-10-30 06:05:57,13.757805,100.645888,28
11-9345 1,145.0,2023-10-30 06:06:12,13.756667,100.646,29
11-9345 1,145.0,2023-10-30 06:06:42,13.75525,100.646055,10
11-9345 1,145.0,2023-10-30 06:06:57,13.7545,100.645972,27
11-9345 1,145.0,2023-10-30 06:07:42,13.752943,100.645638,3
11-9345 1,145.0,2023-10-30 06:08:27,13.749917,100.64475,31
11-9345 1,145.0,2023-10-30 06:09:12,13.747305,100.644,24
11-9345 1,145.0,2023-10-30 06:09:12,13.747305,100.644,24
11-9345 1,145.0,2023-10-30 06:09:57,13.745277,100.643472,6
11-9345 1,145.0,2023-10-30 06:09:57,13.745277,100.643472,6
11-9345 1,145.0,2023-10-30 06:10:42,13.741972,100.642693,38
11-9345 1,145.0,2023-10-30 06:10:42,13.741972,100.642693,38
11-9345 1,145.0,2023-10-30 06:11:12,13.738833,100.641972,38
11-9345 1,145.0,2023-10-30 06:11:12,13.738833,100.641972,38
11-9345 1,145.0,2023-10-30 06:12:12,13.736805,100.641472,24
11-9345 1,145.0,2023-10-30 06:12:12,13.736805,100.641472,24
11-9345 1,145.0,2023-10-30 06:12:57,13.734138,100.641222,0
11-9345 1,145.0,2023-10-30 06:13:27,13.732417,100.641333,39
11-9345 1,145.0,2023-10-30 06:13:57,13.730388,100.6415,22
11-9345 1,145.0,2023-10-30 06:14:12,13.729277,100.641583,35
11-9345 1,145.0,2023-10-30 06:14:57,13.726055,100.641833,20
11-9345 1,145.0,2023-10-30 06:14:57,13.726055,100.641833,20
11-9345 1,145.0,2023-10-30 06:15:42,13.721943,100.642138,38
11-9345 1,145.0,2023-10-30 06:15:42,13.721943,100.642138,38
11-9345 1,145.0,2023-10-30 06:16:27,13.718805,100.642443,44
11-9345 1,145.0,2023-10-30 06:16:27,13.718805,100.642443,44
11-9345 1,145.0,2023-10-30 06:17:12,13.713888,100.643667,8
11-9345 1,145.0,2023-10-30 06:17:12,13.713888,100.643667,8
11-9345 1,145.0,2023-10-30 06:18:12,13.70925,100.644667,53
11-9345 1,145.0,2023-10-30 06:18:12,13.70925,100.644667,53
11-9345 1,145.0,2023-10-30 06:18:42,13.704943,100.645667,64
11-9345 1,145.0,2023-10-30 06:18:42,13.704943,100.645667,64
11-9345 1,145.0,2023-10-30 06:19:42,13.698833,100.647083,37
11-9345 1,145.0,2023-10-30 06:19:42,13.698833,100.647083,37
11-9345 1,145.0,2023-10-30 06:20:27,13.69486,100.647527,19
11-9345 1,145.0,2023-10-30 06:20:27,13.69486,100.647527,19
11-9345 1,145.0,2023-10-30 06:21:12,13.690943,100.647222,0
11-9345 1,145.0,2023-10-30 06:21:12,13.690943,100.647222,0
11-9345 1,145.0,2023-10-30 06:21:57,13.688333,100.647,0
11-9345 1,145.0,2023-10-30 06:22:42,13.68636,100.64686,0
11-9345 1,145.0,2023-10-30 06:23:12,13.68636,100.64686,0
11-9345 1,145.0,2023-10-30 06:23:12,13.68636,100.64686,0
11-9345 1,145.0,2023-10-30 06:23:57,13.684388,100.646693,7
11-9345 1,145.0,2023-10-30 06:23:57,13.684388,100.646693,7
11-9345 1,145.0,2023-10-30 06:24:42,13.680917,100.646388,49
11-9345 1,145.0,2023-10-30 06:24:42,13.680917,100.646388,49
11-9345 1,145.0,2023-10-30 06:25:42,13.677972,100.646138,0
11-9345 1,145.0,2023-10-30 06:25:42,13.677972,100.646138,0
11-9345 1,145.0,2023-10-30 06:26:27,13.678,100.646138,0
11-9345 1,145.0,2023-10-30 06:26:27,13.678,100.646138,0
11-9345 1,145.0,2023-10-30 06:26:57,13.678,100.646138,0
11-9345 1,145.0,2023-10-30 06:27:27,13.677193,100.646083,32
11-9345 1,145.0,2023-10-30 06:27:42,13.675888,100.646,11
11-9345 1,145.0,2023-10-30 06:28:27,13.672833,100.64575,30
11-9345 1,145.0,2023-10-30 06:28:27,13.672833,100.64575,30
11-9345 1,145.0,2023-10-30 06:29:12,13.669777,100.646555,50
11-9345 1,145.0,2023-10-30 06:29:57,13.66575,100.64636,15
11-9345 1,145.0,2023-10-30 06:29:57,13.66575,100.64636,15
11-9345 1,145.0,2023-10-30 06:30:42,13.66511,100.649888,51
11-9345 1,145.0,2023-10-30 06:30:42,13.66511,100.649888,51
11-9345 1,145.0,2023-10-30 06:31:27,13.6645,100.653027,38
11-9345 1,145.0,2023-10-30 06:31:27,13.6645,100.653027,38
11-9345 1,145.0,2023-10-30 06:32:12,13.663055,100.658805,62
11-9345 1,145.0,2023-10-30 06:32:12,13.663055,100.658805,62
11-9345 1,145.0,2023-10-30 06:32:57,13.660972,100.662667,32
11-9345 1,145.0,2023-10-30 06:32:57,13.660972,100.662667,32
11-9345 1,145.0,2023-10-30 06:33:57,13.658222,100.667667,29
11-9345 1,145.0,2023-10-30 06:33:57,13.658222,100.667667,29
11-9345 1,145.0,2023-10-30 06:34:57,13.65575,100.672167,18
11-9345 1,145.0,2023-10-30 06:34:57,13.65575,100.672167,18
11-9345 1,145.0,2023-10-30 06:35:27,13.6545,100.674472,25
11-9345 1,145.0,2023-10-30 06:35:27,13.6545,100.674472,25
11-9345 1,145.0,2023-10-30 06:36:27,13.652,100.678805,44
11-9345 1,145.0,2023-10-30 06:36:27,13.652,100.678805,44
11-9345 1,145.0,2023-10-30 06:37:12,13.65,100.68125,32
11-9345 1,145.0,2023-10-30 06:37:12,13.65,100.68125,32
11-9345 1,145.0,2023-10-30 06:37:57,13.648222,100.67936,25
11-9345 1,145.0,2023-10-30 06:37:57,13.648222,100.67936,25
11-9345 1,145.0,2023-10-30 06:38:57,13.648805,100.67961,21
11-9345 1,145.0,2023-10-30 06:38:57,13.648805,100.67961,21
11-9345 1,145.0,2023-10-30 06:39:42,13.64661,100.677,34
11-9345 1,145.0,2023-10-30 06:39:42,13.64661,100.677,34
11-9345 1,145.0,2023-10-30 06:40:42,13.64475,100.67561,16
